Company,Fiscal Year End Date,Total Revenue,Net Income,Total Assets,Total Libalities,Cash Flow from operating activities,Units
Microsoft,2023-06-30,"211,915.00","72,361.00","411,976.00","205,753.00","87,582.00",Millions
Microsoft,2022-06-30,"198,270.00","72,738.00","364,840.00","333,779.00","89,035.00",Millions
Microsoft,2021-06-30,"168,088.00","61,271.00","333,779.00","191,791.00","76,740.00",Millions
Microsoft,2020-06-30,"143,015.00","44,281.00","301,311.00","183,007.00","60,675.00",Millions
Tesla,2023-12-31,"96,773.00","14,997.00","106,618.00","43,009.00","13,256.00",Millions
Tesla,2022-12-31,"81,462.00","12,556.00","82,338.00","36,440.00","14,724.00",Millions
Tesla,2021-12-31,"53,823.00","5,644.00","62,131.00","30,548.00","11,497.00",Millions
Tesla,2020-12-31,"31,536.00",862.00,"52,148.00","14,248.00","5,943.00",Millions
Apple,2023-09-30,"383,285.00","96,995.00","352,583.00","290,437.00","110,543.00",Millions
Apple,2022-09-24,"394,382.00","99,803.00","352,755.00","302,083.00","122,151.00",Millions
Apple,2021-09-25,"365,817.00","94,680.00","351,002.00","287,912.00","104,038.00",Millions
Apple,2020-10-26,"274,515.00","57,411.00","323,888.00","258,549.00","80,674.00",Millions